date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:41	36002/36002	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:18:30%20GMT	http://mvcsoftonline.com/html/the-factory/images/bg/about-1.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/bg/about-1.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:41	167709/167709	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:22:28%20GMT	http://mvcsoftonline.com/html/the-factory/images/slider/1.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/slider/1.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:46	45612/45612	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:18:30%20GMT	http://mvcsoftonline.com/html/the-factory/images/bg/about-2.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/bg/about-2.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:47	35610/35610	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:18:30%20GMT	http://mvcsoftonline.com/html/the-factory/images/bg/about-3.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/bg/about-3.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:48	33101/33101	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:18:30%20GMT	http://mvcsoftonline.com/html/the-factory/images/bg/about-4.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/bg/about-4.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:51	235704/235704	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:22:28%20GMT	http://mvcsoftonline.com/html/the-factory/images/slider/2.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/slider/2.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:50:14	164044/164044	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:18:30%20GMT	http://mvcsoftonline.com/html/the-factory/images/bg/2.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/bg/2.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:50:23	212794/212794	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:18:30%20GMT	http://mvcsoftonline.com/html/the-factory/images/bg/3.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/bg/3.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:50:24	236002/236002	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:18:30%20GMT	http://mvcsoftonline.com/html/the-factory/images/bg/1.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/bg/1.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:50:27	47827/47827	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Apr%202018%2006:20:25%20GMT	http://mvcsoftonline.com/html/the-factory/portfolio-single.html	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/portfolio-single.7f.delayed	(from http://mvcsoftonline.com/html/the-factory/index-two.html)
11:50:28	39764/39764	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Jan%202018%2012:42:18%20GMT	http://mvcsoftonline.com/html/the-factory/css/bootstrap.rtl.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/bootstrap.rtl.css	(from http://mvcsoftonline.com/html/the-factory/index-rtl-one.html)
11:50:28	1248/1248	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Mar%202018%2011:33:24%20GMT	http://mvcsoftonline.com/html/the-factory/css/rtl-theme.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/rtl-theme.css	(from http://mvcsoftonline.com/html/the-factory/index-rtl-one.html)
11:50:31	231466/231466	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:18:30%20GMT	http://mvcsoftonline.com/html/the-factory/images/bg/4.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/bg/4.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:50:33	8023/8023	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Mar%202018%2011:55:12%20GMT	http://mvcsoftonline.com/html/the-factory/images/testimonial/4.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/testimonial/4.jpg	(from http://mvcsoftonline.com/html/the-factory/testimonials.html)
11:50:35	7836/7836	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Mar%202018%2011:58:29%20GMT	http://mvcsoftonline.com/html/the-factory/images/testimonial/5.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/testimonial/5.jpg	(from http://mvcsoftonline.com/html/the-factory/testimonials.html)
11:50:46	134981/134981	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Dec%202017%2010:29:56%20GMT	http://mvcsoftonline.com/html/the-factory/images/about/3.png	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/about/3.png	(from http://mvcsoftonline.com/html/the-factory/index-two.html)
